,Training,Validation,Test
Accuracy,0.9953596287703016,0.8648648648648649,0.8513513513513513
Precision,1.0,0.8907849829351536,0.9629629629629629
Recall,0.9909706546275395,0.8446601941747572,0.7222222222222222
F1 Score,0.9954648526077098,0.867109634551495,0.8253968253968254
F0.5 Score,0.998180991359709,0.8811613774476705,0.9027777777777778
ROC AUC,1.0,0.9445835763376674,0.9455409356725146
