,Training,Validation,Test
Accuracy,0.9342694950702122,0.8427700348432056,0.8554006968641115
Precision,0.9308686504358281,0.8398926654740608,0.8715277777777778
Recall,0.9364983368612035,0.8376449598572703,0.8451178451178452
F1 Score,0.933675007536931,0.8387673068334077,0.8581196581196581
F1.0 Score,0.933675007536931,0.8387673068334077,0.8581196581196581
ROC AUC,0.9838882619996465,0.9310247309583009,0.9316024261872637
