rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate,target,eng_period_duration_ratio,eng_prad_srad_ratio,eng_transit_shape,eng_duration_period_ratio,eng_stellar_density,eng_transit_probability,eng_temp_ratio,eng_signal_quality,eng_habitable_zone
414,1346.02,1346,219852882,219852882.02,2,CP,17h06m29.44s,256.622675,+68d50m35.89s,68.843303,-20.12,0.04,-0.04,0.0,1.0,89.886,0.043,-0.043,0.0,1.0,2459741.887113,0.00152,-0.00152,0,1,1.7622537,4.6e-06,-4.6e-06,0,1,0.8779711,0.0945792,-0.0945792,0,1,733.5550822,44.17279,-44.17279,0,1,2.5235818,0.282786,-0.282786,0,1,468.5415425,1186.6066429,10.7261,0.006,-0.006,0,1,115.45,0.322,-0.322,0,1,4965.0,124.0,-124.0,0,1,4.56,0.09,-0.09,0,1,0.784109,0.0494724,-0.0494724,0,1,2020-02-21 21:35:16,2025-08-09 12:03:57,1.0,48.17252959693093,0.029526668620695,30.84864868078101,0.0207587188874488,111788.81608008393,0.5374410289814512,0.2389942886002014,0.0375831113168174,0
415,1347.01,1347,229747848,229747848.01,1,CP,18h41m18.4s,280.326681,+70d17m24.19s,70.290054,-6.335,0.11,-0.11,0.0,1.0,26.221,0.078,-0.078,0.0,1.0,2459664.026959,0.000736,-0.000736,0,1,0.8474218,4.8e-06,-4.8e-06,0,1,0.8758764,0.1150393,-0.1150393,0,1,424.3932848,29.129574,-29.129574,0,1,1.7536544,1.371646,-1.371646,0,1,1876.1315489,1678.5549814,10.7157,0.007,-0.007,0,1,147.476,1.0425,-1.0425,0,1,5300.0,143.2,-143.2,0,1,4.56,0.08,-0.08,0,1,0.846387,0.0434397,-0.0434397,0,1,2019-10-30 21:47:36,2025-04-20 12:03:53,1.0,23.22031190702249,0.0190085297589214,23.52022256525478,0.0430657436473784,12519.994766007774,0.9451539699620368,0.3167084870566038,0.0219527283541129,0
416,1347.02,1347,229747848,229747848.02,2,CP,18h41m18.4s,280.326681,+70d17m24.19s,70.290054,-6.335,0.11,-0.11,0.0,1.0,26.221,0.078,-0.078,0.0,1.0,2459656.582609,0.007605,-0.007605,0,1,4.8420438,1.67e-05,-1.67e-05,0,1,2.4105648,0.2969602,-0.2969602,0,1,318.6638392,31.045536,-31.045536,0,1,1.6177405,0.6245401,-0.6245401,0,1,183.6641995,938.9141348,10.7157,0.007,-0.007,0,1,147.476,1.0425,-1.0425,0,1,5300.0,143.2,-143.2,0,1,4.56,0.08,-0.08,0,1,0.846387,0.0434397,-0.0434397,0,1,2020-07-16 04:56:45,2025-04-20 12:03:53,1.0,48.20822539182519,0.0175353070915583,7.405383967785175,0.0207433480878467,112037.50646168078,0.2957216870617111,0.1771536103396226,0.0164836272127468,0
417,1348.01,1348,229770036,229770036.01,1,FP,18h48m41.61s,282.173361,+70d50m24.69s,70.840191,-63.053,0.074,-0.074,0.0,1.0,114.601,0.093,-0.093,0.0,1.0,2458684.50173,0.00575,-0.00575,0,1,2.14056,0.00023,-0.00023,0,1,2.029,0.369,-0.369,0,1,355.8315803,34.70787,-34.70787,0,1,1.83828,0.167472,-0.167472,0,1,316.156,1174.0,10.6666,0.006,-0.006,0,1,101.713,0.5015,-0.5015,0,1,4567.0,143.3,-143.3,0,1,4.39,0.1,-0.1,0,1,0.84,0.05,-0.05,0,1,2019-10-30 21:47:36,2021-10-29 12:59:15,0.0,25.31958600295712,0.0200773263433813,9.29694362888223,0.0394951165427115,16231.916537525634,0.5057404402825822,0.2570615283555945,0.0192577032144966,0
419,135.01,135,267263253,267263253.01,1,CP,00h29m18.94s,7.328916,-76d18m14.52s,-76.304032,-2.97,0.037,-0.037,0.0,1.0,6.961,0.031,-0.031,0.0,1.0,2460174.637067,0.000188,-0.000188,0,1,4.1269046,8e-07,-8e-07,0,1,4.405,0.016,-0.016,0,1,10831.0,34.3442,-34.3442,0,1,17.0952,0.698036,-0.698036,0,1,1436.49,1715.0,9.2205,0.006,-0.006,0,1,196.852,0.774,-0.774,0,1,6888.0,204.0,-204.0,0,1,4.23416,0.355654,-0.355654,0,1,1.59,0.06,-0.06,0,1,2018-09-05 18:51:57,2023-11-16 16:02:02,1.0,22.484837775255382,0.0986394322312618,23.62590020406704,0.0444744147142792,11367.612885464923,0.6179891324405344,0.2489837398373983,2.22059090048187,0
423,1353.01,1353,279177746,279177746.01,1,FP,20h55m32.44s,313.885156,+46d30m07.51s,46.502085,-0.511,0.062,-0.062,0.0,1.0,3.17,0.055,-0.055,0.0,1.0,2460551.553803,0.001373,-0.001373,0,1,4.4350025,8.1e-06,-8.1e-06,0,1,2.252,0.381,-0.381,0,1,2085.0,307.043,-307.043,0,1,9.91393,1.00166,-1.00166,0,1,6855.78,2535.0,10.1503,0.075,-0.075,0,1,464.209,8.1325,-8.1325,0,1,9706.0,667.9,-667.9,0,1,4.29,0.12,-0.12,0,1,1.87,0.14,-0.14,0,1,2019-10-30 21:47:36,2024-11-14 10:08:02,0.0,47.26468028419184,0.0486382279350439,20.276110225276867,0.0211574476752455,105586.93263273984,0.6927539762574343,0.2611786523799712,0.1815457386335613,0
424,1354.01,1354,365683032,365683032.01,1,FP,20h48m43.19s,312.179957,+51d54m38.51s,51.910696,6.909,0.081,-0.081,0.0,1.0,3.48,0.073,-0.073,0.0,1.0,2460556.601695,0.001697,-0.001697,0,1,1.4287976,4.1e-06,-4.1e-06,0,1,2.93,0.564,-0.564,0,1,1768.0,1207.12,-1207.12,0,1,9.00484,0.6874487,-0.6874487,0,1,165726.0,5621.0,8.78822,0.01,-0.01,0,1,245.776,2.9185,-2.9185,0,1,9224.0,163.0,-163.0,0,1,4.37,0.0853377,-0.0853377,0,1,1.65,0.06,-0.06,0,1,2019-10-30 21:47:36,2024-10-01 10:08:01,0.0,11.70346156996587,0.0500686127328329,14.350714021589514,0.085444805711693,1603.034983563941,1.3006790231992311,0.60938855160451,0.5397520005352423,0
427,1357.01,1357,357972447,357972447.01,1,FP,21h07m49.39s,316.955806,+50d30m03.18s,50.500883,-16.389,0.064,-0.064,0.0,1.0,-11.604,0.066,-0.066,0.0,1.0,2460393.796914,0.00179,-0.00179,0,1,0.33759,5e-05,-5e-05,0,1,1.351,0.189,-0.189,0,1,529.0,28.4954,-28.4954,0,1,2.96097,0.156624,-0.156624,0,1,9164.98,2725.0,10.2193,0.006,-0.006,0,1,254.401,2.292,-2.292,0,1,7387.0,515.6,-515.6,0,1,4.39,0.1,-0.1,0,1,1.37,0.05,-0.05,0,1,2019-10-30 21:47:36,2024-05-13 10:08:02,0.0,5.997157660991858,0.0198283667046139,17.024426350851222,0.1667456579480039,215.6931727841964,2.8257095415385667,0.3688912955191553,0.0432250666935232,0
428,1358.01,1358,275501623,275501623.01,1,FP,21h20m27.87s,320.116115,+61d07m12.9s,61.12025,5.307,0.103,-0.103,0.0,1.0,3.776,0.087,-0.087,0.0,1.0,2458739.59911,0.00213,-0.00213,0,1,1.67346,2e-05,-2e-05,0,1,2.54,0.181,-0.181,0,1,390.0,0.354149,-0.354149,0,1,5.10182,0.6874487,-0.6874487,0,1,19786.3,3304.0,8.63701,0.006,-0.006,0,1,356.681,5.825,-5.825,0,1,10445.0,124.0,-124.0,0,1,4.09,0.0853377,-0.0853377,0,1,2.45,0.06,-0.06,0,1,2019-10-30 21:47:36,2021-10-29 12:59:15,0.0,15.812220472440943,0.0191043624789365,7.774967581941534,0.0632422246921547,3953.47123675895,1.738157767955884,0.3163235998085208,0.1368549804730789,0
429,1359.01,1359,416624606,416624606.01,1,FP,20h40m09.13s,310.038053,+50d19m25.47s,50.323742,3.547,0.057,-0.057,0.0,1.0,-39.384,0.049,-0.049,0.0,1.0,2459821.804188,0.001312,-0.001312,0,1,2.5152549,4.4e-06,-4.4e-06,0,1,2.386,0.193,-0.193,0,1,1870.0,130.449,-130.449,0,1,13.4294,2.72798,-2.72798,0,1,4740.94,2311.0,10.2732,0.024,-0.024,0,1,335.203,3.774,-3.774,0,1,5915.0,191.0,-191.0,0,1,3.82,0.09,-0.09,0,1,2.11,0.1,-0.1,0,1,2019-10-30 21:47:36,2022-10-03 16:02:02,0.0,25.30013310980721,0.0583912344014957,18.12384602719166,0.0395254837458687,16194.532608114305,1.140848002003144,0.3907016060862214,0.1453990625790918,0
430,136.01,136,410153553,410153553.01,1,CP,22h41m59.09s,340.496204,-69d10m19.59s,-69.172108,334.357,0.083,-0.083,0.0,1.0,-726.974,0.086,-0.086,0.0,1.0,2459036.323679,0.000381,-0.000381,0,1,0.4628844,1.52e-05,-1.52e-05,0,1,0.5588219,0.0882818,-0.0882818,0,1,4489.9119215,173.90933,-173.90933,0,1,1.3543237,0.1815751,-0.1815751,0,1,64.718104,723.3961549,11.9238,0.008,-0.008,0,1,14.8846,0.0113,-0.0113,0,1,3043.0,63.0,-63.0,0,1,5.09707,0.426694,-0.426694,0,1,0.188624,0.0057103,-0.0057103,0,1,2018-09-05 18:51:57,2021-10-29 12:59:15,1.0,19.87972482825029,0.0658717240297867,119.90726390419228,0.0503025071342506,7856.536021002013,0.3152210809542005,0.2377246647716069,0.0763339650179826,0
431,1360.01,1360,330468175,330468175.01,1,FP,21h00m39.89s,315.166199,+47d47m09.57s,47.785991,2.27,0.051,-0.051,0.0,1.0,0.104,0.053,-0.053,0.0,1.0,2458739.28,0.0077,-0.0077,0,1,0.70902,0.00036,-0.00036,0,1,2.49,0.287,-0.287,0,1,570.0,1.19453,-1.19453,0,1,5.18865,0.325913,-0.325913,0,1,65312.0,4453.0,10.0146,0.021,-0.021,0,1,533.615,8.445,-8.445,0,1,8999.0,297.4,-297.4,0,1,4.05,0.07,-0.07,0,1,2.36,0.07,-0.07,0,1,2019-10-30 21:47:36,2022-02-13 12:02:14,0.0,6.833927710843373,0.0201704633805007,9.588221997038811,0.1463287354376463,319.16197332911315,2.968062298383645,0.4948327591954661,0.056238645947701,0
