,Training,Validation,Test
Accuracy,0.9953596287703016,0.8462837837837838,0.8648648648648649
Precision,0.9910514541387024,0.7898936170212766,0.825
Recall,1.0,0.9611650485436893,0.9166666666666666
F1 Score,0.9955056179775281,0.8671532846715329,0.868421052631579
F2.0 Score,0.9981973862100045,0.9212158808933002,0.8967391304347826
ROC AUC,1.0,0.9439431884455727,0.9490131578947368
