,Training,Validation,Test
Accuracy,0.9936194895591647,0.8675675675675676,0.8972972972972973
Precision,0.9943502824858758,0.8439024390243902,0.9047619047619048
Recall,0.9932279909706546,0.9105263157894737,0.8952879581151832
F1 Score,0.9937888198757764,0.8759493670886076,0.9
F1.0 Score,0.9937888198757764,0.8759493670886076,0.9
ROC AUC,0.999687528620762,0.9345029239766082,0.9552780133961216
