,Training,Validation,Test
Accuracy,0.8259635494472662,0.7887630662020906,0.794425087108014
Precision,0.7394901610017889,0.7075718015665796,0.72544080604534
Recall,1.0,0.9669937555753791,0.9696969696969697
F1 Score,0.8502378197711788,0.817188088955899,0.829971181556196
F2.0 Score,0.9341807909604519,0.9009308510638298,0.9085173501577287
ROC AUC,0.979120481386657,0.9270400668096493,0.9189245037620488
