,Training,Validation,Test
Accuracy,0.8739169405437706,0.8323170731707317,0.818815331010453
Precision,0.947005444646098,0.9061810154525386,0.897119341563786
Recall,0.788932567281524,0.7323818019625334,0.734006734006734
F1 Score,0.86077202243484,0.8100641341884558,0.8074074074074075
F0.5 Score,0.9105186012424095,0.8651211801896733,0.8589440504334122
ROC AUC,0.9666809781329188,0.9290382826883291,0.9236285842784039
